FTHG,FTAG,HST,AST,B365H,B365D,B365A,FTR
1,1,3.0,1.0,1.55,4.33,5.75,D
1,1,6.0,2.0,1.95,3.6,3.8,D
0,3,1.0,4.0,6.5,5.0,1.45,A
2,1,4.0,10.0,3.6,4.0,1.91,H
1,2,1.0,5.0,2.6,3.6,2.6,A
0,0,3.0,2.0,2.2,3.6,3.1,D
1,1,6.0,6.0,1.85,3.8,3.8,D
0,1,1.0,6.0,2.63,3.4,2.6,A
3,1,9.0,6.0,2.63,3.6,2.55,H
2,1,3.0,5.0,2.2,4.0,2.88,H
2,1,8.0,1.0,1.25,7.0,9.0,H
2,0,6.0,3.0,1.4,5.25,6.5,H
0,1,6.0,5.0,2.3,3.4,3.1,A
1,1,6.0,2.0,1.62,4.5,4.75,D
2,1,4.0,6.0,2.63,3.6,2.55,H
3,1,7.0,5.0,1.67,4.2,4.75,H
5,1,6.0,6.0,9.0,5.5,1.3,H
3,2,7.0,7.0,2.05,3.5,3.5,H
3,1,6.0,4.0,2.1,3.5,3.4,H
2,0,5.0,1.0,2.38,3.6,2.8,H
0,1,3.0,1.0,2.25,3.5,3.1,A
2,3,6.0,8.0,2.6,3.6,2.55,A
1,1,12.0,6.0,2.9,3.6,2.3,D
0,0,3.0,5.0,2.3,3.5,3.0,D
2,2,4.0,5.0,2.0,4.0,3.3,D
1,1,4.0,6.0,3.5,4.2,1.91,D
3,0,7.0,2.0,2.7,3.4,2.6,H
0,1,4.0,3.0,3.1,3.6,2.2,A
0,1,4.0,2.0,1.67,4.2,4.75,A
3,1,11.0,4.0,1.45,5.0,6.0,H
2,0,7.0,1.0,1.8,3.8,4.2,H
3,0,6.0,2.0,1.36,5.0,8.5,H
3,0,8.0,2.0,1.45,5.25,5.5,H
1,1,3.0,9.0,5.0,4.5,1.57,D
1,1,8.0,6.0,1.55,4.75,5.25,D
3,3,4.0,3.0,1.44,5.0,6.5,D
2,0,8.0,7.0,1.95,3.6,3.8,H
2,1,7.0,2.0,1.83,4.0,3.8,H
3,2,3.0,4.0,2.8,3.6,2.38,H
4,0,8.0,1.0,1.17,8.0,15.0,H
3,0,7.0,5.0,1.36,5.25,7.5,H
1,2,4.0,7.0,6.5,5.75,1.36,A
3,0,12.0,4.0,1.14,9.0,12.0,H
0,1,0.0,6.0,5.25,4.75,1.5,A
1,1,6.0,2.0,2.05,3.6,3.4,D
0,0,4.0,4.0,2.05,3.6,3.5,D
1,1,4.0,4.0,2.2,3.4,3.25,D
0,1,7.0,1.0,1.45,4.5,7.5,A
0,3,2.0,8.0,5.25,4.5,1.53,A
1,1,4.0,4.0,2.15,3.6,3.1,D
3,1,4.0,2.0,3.5,4.0,1.91,H
1,0,1.0,4.0,3.6,3.8,1.95,H
2,2,3.0,4.0,3.8,3.75,1.91,D
0,4,5.0,7.0,4.5,4.0,1.73,A
3,2,8.0,4.0,2.0,3.8,3.4,H
1,1,3.0,3.0,2.7,3.5,2.55,D
2,3,6.0,5.0,2.4,3.8,2.7,A
0,1,6.0,3.0,1.09,11.0,21.0,A
1,2,4.0,7.0,1.91,3.8,3.8,A
1,0,10.0,1.0,1.18,7.0,17.0,H
1,0,4.0,0.0,2.15,3.4,3.5,H
2,3,7.0,4.0,8.5,5.75,1.3,A
1,1,8.0,3.0,1.67,4.5,4.33,D
5,2,11.0,2.0,2.63,3.8,2.4,H
3,1,4.0,4.0,2.4,3.5,2.88,H
1,1,5.0,2.0,1.83,3.75,4.2,D
0,0,8.0,3.0,1.29,5.5,10.0,D
1,0,6.0,1.0,1.62,3.8,5.75,H
3,1,6.0,4.0,1.36,5.5,7.5,H
0,1,5.0,7.0,2.38,3.3,2.9,A
2,1,5.0,3.0,2.0,3.5,3.6,H
1,0,5.0,1.0,2.05,3.25,3.75,H
0,1,4.0,3.0,2.15,3.2,3.5,A
1,0,8.0,3.0,2.1,3.3,3.5,H
2,2,3.0,4.0,2.05,3.25,3.75,D
3,0,3.0,3.0,2.2,3.25,3.3,H
2,2,4.0,10.0,2.4,3.2,3.0,D
1,1,2.0,5.0,2.7,3.1,2.7,D
1,0,3.0,4.0,3.4,3.0,2.3,H
4,3,8.0,6.0,1.75,3.5,4.75,H
2,0,2.0,3.0,2.05,3.1,4.0,H
1,1,5.0,3.0,2.45,3.0,3.1,D
0,2,4.0,2.0,2.6,3.0,2.88,A
1,2,7.0,4.0,2.25,3.1,3.4,A
0,1,1.0,4.0,3.2,3.1,2.3,A
2,2,5.0,4.0,1.91,3.4,4.0,D
2,1,2.0,5.0,1.91,3.25,4.33,H
1,1,6.0,7.0,1.75,3.4,5.0,D
3,0,8.0,6.0,2.5,3.2,2.88,H
0,4,1.0,6.0,1.95,3.3,4.0,A
2,0,8.0,1.0,1.91,3.4,4.0,H
1,2,7.0,6.0,2.05,3.25,3.75,A
3,1,8.0,5.0,2.05,3.3,3.6,H
2,4,8.0,11.0,1.67,3.5,5.5,A
2,2,6.0,4.0,2.38,3.2,3.0,D
2,0,6.0,5.0,2.15,3.2,3.5,H
1,2,4.0,6.0,2.45,3.2,3.0,A
0,1,2.0,2.0,3.0,3.2,2.38,A
3,1,10.0,6.0,2.9,3.3,2.38,H
1,2,2.0,7.0,2.6,3.3,2.63,A
1,0,4.0,1.0,1.85,3.4,4.2,H
3,2,5.0,5.0,1.95,3.3,4.0,H
1,2,3.0,5.0,2.45,3.3,2.88,A
1,1,8.0,2.0,1.73,3.5,5.0,D
1,1,4.0,4.0,2.5,3.3,2.75,D
1,1,4.0,6.0,2.35,3.3,3.0,D
1,3,5.0,5.0,2.0,3.5,3.6,A
0,4,3.0,9.0,2.1,3.4,3.4,A
2,1,5.0,3.0,1.75,3.75,4.33,H
1,2,3.0,4.0,1.75,3.6,4.75,A
1,1,6.0,4.0,2.05,3.4,3.5,D
1,2,5.0,4.0,2.3,3.3,3.1,A
3,2,6.0,4.0,2.45,3.3,2.8,H
0,1,3.0,2.0,2.1,3.3,3.5,A
0,3,3.0,6.0,2.88,3.2,2.5,A
1,1,6.0,4.0,1.83,3.5,4.2,D
1,6,10.0,9.0,2.4,3.2,3.0,A
1,0,5.0,2.0,2.0,3.4,3.7,H
0,4,3.0,7.0,2.45,3.3,2.8,A
1,2,4.0,4.0,1.91,3.4,4.0,A
4,3,4.0,4.0,2.0,3.3,3.8,H
3,1,9.0,3.0,2.7,3.2,2.63,H
0,2,1.0,5.0,2.38,3.4,2.88,A
0,1,4.0,4.0,1.73,3.75,4.6,A
2,2,6.0,5.0,1.62,3.6,6.0,D
0,2,3.0,7.0,2.2,3.2,3.4,A
1,0,3.0,2.0,2.6,3.4,2.6,H
3,0,6.0,7.0,2.0,3.3,3.8,H
